engine,duration_s,f0_mean_hz,f0_std_hz,f0_range_hz,f0_semitone_std,f0_local_delta_hz,voiced_ratio,energy_dyn_db,pause_rate_per_s,centroid_hz,centroid_std_hz
original,40.27733333333333,182.71660721910843,90.82861034202963,275.70319335079813,10.426724090491895,2.1861396056821434,0.6791104050833995,10.20552921295166,0.3475900423728814,2722.931249573226,2019.6538431475767
kokoro,29.425,211.33807004905663,36.09834247782605,121.57011497922673,2.818710210634891,2.1861396056821434,0.5146792316056542,10.921584129333496,0.33984706881903143,3374.697196369234,2120.5807222108497
chatterbox,33.4,250.44530533328108,71.09643094206551,213.14680395374592,4.8216374968136355,2.637598339544965,0.6542145593869731,9.831930160522461,0.3592814371257485,2923.9963161894143,2186.798512709357
f5,37.374,165.2680413786397,82.20548005746964,249.5984631970161,9.350477535386423,2.569911836303362,0.6912100456621004,17.723155975341797,0.34783539358912613,3093.3101715498783,1902.130709432626
styletts2,39.35625,204.407772484797,36.28369783118684,111.60119902944447,2.9281921005752602,2.1861396056821434,0.5376693766937669,9.865286827087402,0.3557249483881213,2749.38610059151,2132.329478665863
index,25.240125,231.96870898433792,62.15292757594054,188.24460898259275,4.423946625191879,3.015766497850848,0.467680608365019,8.717458724975586,0.43581400646787605,2592.3285162664947,2074.192244091809
